child_id,tag,view,image_name,shoulder_width_ref,total_arm_area,left_arm_area,right_arm_area,left_arm_width,right_arm_width,left_arm_height,right_arm_height,left_arm_aspect_ratio,right_arm_aspect_ratio,total_arm_area_norm,left_arm_area_norm,right_arm_area_norm,left_arm_width_norm,right_arm_width_norm,left_arm_height_norm,right_arm_height_norm,num_arms_detected
1728,IMG_20240102_094304_1728,frontal1,IMG_20240102_094304_1728_frontal1.jpg,523.2277567132405,2253.0,1087.0,1166.0,24.0,23.0,67.0,73.0,2.7916666666666665,3.1739130434782608,0.00822961734360591,0.003970525544828949,0.00425909179877696,0.04586912619231209,0.04395791260096576,0.12805131062020458,0.1395185921682826,2
1729,IMG_20240102_095246_1729,frontal1,IMG_20240102_095246_1729_frontal1.jpg,524.0098981757412,2410.0,1348.0,1062.0,28.0,22.0,80.0,71.0,2.857142857142857,3.227272727272727,0.008776837576753373,0.004909202096872842,0.0038676354798805324,0.053434105152359974,0.041983939762568555,0.15266887186388564,0.13549362377919852,2
1730,IMG_20240102_100544_1730,frontal1,IMG_20240102_100544_1730_frontal1.jpg,442.3443297613747,1187.0,537.0,650.0,15.0,18.0,49.0,53.0,3.2666666666666666,2.9444444444444446,0.006066382494702438,0.002744437573424776,0.003321944921277662,0.03391023460861777,0.04069228153034132,0.11077343305481806,0.11981616228378279,2
1731,IMG_20240102_100630_1731,frontal1,IMG_20240102_100630_1731_frontal1.jpg,586.1263851391286,2638.0,1100.0,1538.0,23.0,28.0,73.0,79.0,3.1739130434782608,2.8214285714285716,0.007678780388869744,0.003201917523789507,0.004476862865080237,0.039240683550767805,0.0477712669313695,0.12454651735678478,0.13478321741350682,2
1732,IMG_20240102_101324_1732,frontal1,IMG_20240102_101324_1732_frontal1.jpg,574.5409107431386,2487.0,1005.0,1482.0,18.0,28.0,74.0,82.0,4.111111111111111,2.9285714285714284,0.007534143161874803,0.0030445572487672605,0.004489585913107543,0.03132936169283044,0.048734562633291796,0.12879848695941404,0.1427226477117831,2
1733,IMG_20240102_102613_1733,frontal1,IMG_20240102_102613_1733_frontal1.jpg,538.4795921065378,2073.0,936.0,1137.0,23.0,25.0,67.0,75.0,2.9130434782608696,3.0,0.007149255282549516,0.003228028434378363,0.003921226848171153,0.04271285362927824,0.04642701481443287,0.1244243997026801,0.1392810444432986,2
1734,IMG_20240102_103238_1734,frontal1,IMG_20240102_103238_1734_frontal1.jpg,498.0791863140572,1230.0,455.0,775.0,14.0,20.0,47.0,58.0,3.357142857142857,2.9,0.004958020564050886,0.0018340645175960596,0.0031239560464548267,0.02810798038682244,0.040154257695460625,0.09436250558433247,0.11644734731683583,2
1735,IMG_20240102_103723_1735,frontal1,IMG_20240102_103723_1735_frontal1.jpg,581.8772033805349,3597.0,1880.0,1717.0,30.0,26.0,87.0,88.0,2.9,3.3846153846153846,0.010623747794698166,0.00555258433528845,0.005071163459409717,0.05155726985987568,0.04468296721189225,0.14951608259363947,0.1512346582556353,2
1736,IMG_20240102_104222_1736,frontal1,IMG_20240102_104222_1736_frontal1.jpg,564.0936677705301,2790.0,1693.0,1097.0,29.0,24.0,81.0,74.0,2.793103448275862,3.0833333333333335,0.008768024488706103,0.005320525254257861,0.0034474992344482418,0.05140990168284786,0.042546125530632715,0.1435931736658854,0.1311838870527842,2
1737,IMG_20240102_110207_1737,frontal1,IMG_20240102_110207_1737_frontal1.jpg,391.5576204572463,613.0,,613.0,,20.0,,48.0,,2.4,0.003998242335148842,,0.003998242335148842,,0.05107805072633946,,0.12258732174321471,1
1738,IMG_20240102_110313_1738,frontal1,IMG_20240102_110313_1738_frontal1.jpg,422.1844009539642,1149.0,638.0,511.0,18.0,14.0,51.0,48.0,2.8333333333333335,3.4285714285714284,0.006446376445025413,0.0035794501061150686,0.002866926338910345,0.042635398085119576,0.03316086517731522,0.12080029457450546,0.1136943948936522,2
1739,IMG_20240102_110754_1739,frontal1,IMG_20240102_110754_1739_frontal1.jpg,445.142666872844,1855.0,853.0,1002.0,20.0,23.0,60.0,57.0,3.0,2.4782608695652173,0.009361500551999207,0.004304776264612034,0.0050567242873871725,0.0449294158668305,0.05166882824685507,0.1347882476004915,0.12804883522046692,2
1740,IMG_20240102_111353_1740,frontal1,IMG_20240102_111353_1740_frontal1.jpg,528.5891009281869,1472.0,517.0,955.0,16.0,22.0,43.0,64.0,2.6875,2.909090909090909,0.005268310968559697,0.0018503510670824477,0.003417959901477249,0.030269258242185605,0.04162023008300521,0.08134863152587382,0.12107703296874242,2
